entity_type,entity_id,data
enrollments,1,"{""enrollment_id"":1,""student_id"":1,""course_id"":1,""enrollment_date"":""2026-02-02"",""status"":""active""}"
enrollments,2,"{""enrollment_id"":2,""student_id"":2,""course_id"":1,""enrollment_date"":""2026-02-02"",""status"":""active""}"
enrollments,3,"{""enrollment_id"":3,""student_id"":3,""course_id"":1,""enrollment_date"":""2026-02-03"",""status"":""active""}"
enrollments,4,"{""enrollment_id"":4,""student_id"":2,""course_id"":2,""enrollment_date"":""2026-02-10"",""status"":""active""}"
enrollments,5,"{""enrollment_id"":5,""student_id"":3,""course_id"":2,""enrollment_date"":""2026-02-10"",""status"":""active""}"
enrollments,6,"{""enrollment_id"":6,""student_id"":4,""course_id"":2,""enrollment_date"":""2026-02-11"",""status"":""active""}"
enrollments,7,"{""enrollment_id"":7,""student_id"":1,""course_id"":3,""enrollment_date"":""2025-09-02"",""status"":""completed""}"
enrollments,8,"{""enrollment_id"":8,""student_id"":5,""course_id"":3,""enrollment_date"":""2025-09-03"",""status"":""completed""}"
enrollments,9,"{""enrollment_id"":9,""student_id"":6,""course_id"":3,""enrollment_date"":""2025-09-03"",""status"":""dropped""}"
enrollments,10,"{""enrollment_id"":10,""student_id"":4,""course_id"":4,""enrollment_date"":""2026-03-15"",""status"":""active""}"
enrollments,11,"{""enrollment_id"":11,""student_id"":5,""course_id"":4,""enrollment_date"":""2026-03-15"",""status"":""active""}"
students,1,"{""student_id"":1,""user_id"":3,""group_name"":""CS-21""}"
students,2,"{""student_id"":2,""user_id"":4,""group_name"":""CS-21""}"
students,3,"{""student_id"":3,""user_id"":5,""group_name"":""SE-22""}"
students,4,"{""student_id"":4,""user_id"":6,""group_name"":""SE-22""}"
students,5,"{""student_id"":5,""user_id"":7,""group_name"":""CS-23""}"
students,6,"{""student_id"":6,""user_id"":8,""group_name"":""CS-23""}"
submissions,1,"{""submission_id"":1,""assignment_id"":1,""student_id"":1,""submission_date"":""2026-03-04T20:15:00"",""file_url"":""https://files.test/submissions/er-model-andrii.pdf"",""comment"":""Initial version of ER model."",""status"":""reviewed"",""score"":92,""feedback"":""Good structure, minor normalization issues.""}"
submissions,2,"{""submission_id"":2,""assignment_id"":1,""student_id"":2,""submission_date"":""2026-03-05T21:40:00"",""file_url"":""https://files.test/submissions/er-model-iryna.pdf"",""comment"":""Added all core entities."",""status"":""reviewed"",""score"":97,""feedback"":""Excellent work.""}"
submissions,3,"{""submission_id"":3,""assignment_id"":2,""student_id"":1,""submission_date"":""2026-03-19T19:00:00"",""file_url"":""https://files.test/submissions/sql-practice-andrii.sql"",""comment"":""Queries for all tasks are included."",""status"":""submitted"",""score"":null,""feedback"":null}"
submissions,4,"{""submission_id"":4,""assignment_id"":3,""student_id"":2,""submission_date"":""2026-03-09T18:30:00"",""file_url"":""https://files.test/submissions/collections-iryna.zip"",""comment"":""Used streams where possible."",""status"":""reviewed"",""score"":88,""feedback"":""Solid solution, but add more edge-case handling.""}"
submissions,5,"{""submission_id"":5,""assignment_id"":3,""student_id"":3,""submission_date"":""2026-03-10T22:10:00"",""file_url"":""https://files.test/submissions/collections-maksym.zip"",""comment"":""Implemented bonus task too."",""status"":""reviewed"",""score"":95,""feedback"":""Clean implementation.""}"
submissions,6,"{""submission_id"":6,""assignment_id"":4,""student_id"":4,""submission_date"":""2026-04-01T20:55:00"",""file_url"":""https://files.test/submissions/rest-service-sofiia.zip"",""comment"":""REST service with Swagger docs."",""status"":""submitted"",""score"":null,""feedback"":null}"
submissions,7,"{""submission_id"":7,""assignment_id"":5,""student_id"":1,""submission_date"":""2025-09-30T17:20:00"",""file_url"":""https://files.test/submissions/junit-andrii.zip"",""comment"":""Tests for service layer."",""status"":""reviewed"",""score"":76,""feedback"":""Need stronger assertion coverage.""}"
submissions,8,"{""submission_id"":8,""assignment_id"":5,""student_id"":5,""submission_date"":""2025-10-01T16:40:00"",""file_url"":""https://files.test/submissions/junit-dmytro.zip"",""comment"":""Covered positive and negative scenarios."",""status"":""reviewed"",""score"":80,""feedback"":""Well done.""}"
submissions,9,"{""submission_id"":9,""assignment_id"":6,""student_id"":5,""submission_date"":""2025-11-05T22:45:00"",""file_url"":""https://files.test/submissions/integration-dmytro.zip"",""comment"":""PostgreSQL and MockMvc integration tests."",""status"":""rejected"",""score"":40,""feedback"":""Tests are incomplete and one scenario is failing.""}"
teachers,1,"{""teacher_id"":1,""user_id"":1,""department"":""Computer Science""}"
teachers,2,"{""teacher_id"":2,""user_id"":2,""department"":""Software Engineering""}"
users,1,"{""user_id"":1,""full_name"":""Olena Shevchenko"",""email"":""olena.shevchenko@university.test"",""password_hash"":""$2a$10$teacher01hash"",""role"":""teacher"",""created_at"":""2026-01-10T09:00:00""}"
users,2,"{""user_id"":2,""full_name"":""Taras Melnyk"",""email"":""taras.melnyk@university.test"",""password_hash"":""$2a$10$teacher02hash"",""role"":""teacher"",""created_at"":""2026-01-11T10:00:00""}"
users,3,"{""user_id"":3,""full_name"":""Andrii Kovalenko"",""email"":""andrii.kovalenko@student.test"",""password_hash"":""$2a$10$student01hash"",""role"":""student"",""created_at"":""2026-01-12T08:30:00""}"
users,4,"{""user_id"":4,""full_name"":""Iryna Bondar"",""email"":""iryna.bondar@student.test"",""password_hash"":""$2a$10$student02hash"",""role"":""student"",""created_at"":""2026-01-12T08:45:00""}"
users,5,"{""user_id"":5,""full_name"":""Maksym Hnatiuk"",""email"":""maksym.hnatiuk@student.test"",""password_hash"":""$2a$10$student03hash"",""role"":""student"",""created_at"":""2026-01-12T09:00:00""}"
users,6,"{""user_id"":6,""full_name"":""Sofiia Tkachenko"",""email"":""sofiia.tkachenko@student.test"",""password_hash"":""$2a$10$student04hash"",""role"":""student"",""created_at"":""2026-01-12T09:15:00""}"
users,7,"{""user_id"":7,""full_name"":""Dmytro Savchuk"",""email"":""dmytro.savchuk@student.test"",""password_hash"":""$2a$10$student05hash"",""role"":""student"",""created_at"":""2026-01-12T09:30:00""}"
users,8,"{""user_id"":8,""full_name"":""Kateryna Lysenko"",""email"":""kateryna.lysenko@student.test"",""password_hash"":""$2a$10$student06hash"",""role"":""student"",""created_at"":""2026-01-12T09:45:00""}"
